year,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_39,age_40_49,age_50_59,age_60_plus,pop_prev,pop_prev_ns
1950,24622,9740,5413,4912,3445,2065,1722,585,314,16,3.1385602,3.1385602
1955,31359,21483,7415,4428,4347,3121,2271,674,324,83,3.9338599,3.9338599
1960,36655,27289,17771,6076,3915,3937,3416,725,346,127,4.5622548,4.5622548
1965,42725,31734,22542,14579,5354,3545,4512,935,400,145,5.0168671,5.0168694
1970,47323,36674,26301,18544,12863,4855,4589,1405,430,167,5.3451339,5.3451382
1975,49703,40650,30519,21701,16421,11675,5576,1910,556,191,5.5381712,5.5381826
1980,51219,42450,34054,25329,19279,14937,11792,2086,845,205,5.5803638,5.5804937
1985,52597,43573,36083,28540,22642,17631,18158,2719,1171,271,5.5545719,5.5575724
1990,57686,44741,39135,31696,26082,21174,24730,6144,1351,397,5.7197553,5.7281466
1995,65591,49514,42363,37654,30571,25272,35068,12767,1960,542,6.2325698,6.2457352
2000,68707,57879,47474,41443,36721,29796,44439,21934,4776,644,6.7713704,6.7929687
2005,72074,61816,56014,46587,40482,35833,52971,32055,9922,985,7.3255584,7.3568028
2010,73693,66479,60104,55042,45538,39515,63251,40620,16952,2321,7.8488983,7.8960496
2015,76695,69122,65027,59154,53926,44491,72732,48414,24556,4588,8.3248904,8.3885182
2020,80127,72694,67881,64257,58127,52841,81378,58018,30911,7859,8.8073024,8.8859923
