feature,importance_gain
no_congen,3351435.167819977
mage_c,2092178.4106841087
ca_limb,1230287.8581552505
ca_disor,1126835.711010456
ca_cchd,1003714.599984169
ca_cdh,901695.5515947342
ca_mnsb,735547.4618854523
ca_clpal,689794.9630684853
dbwt,626784.0092084408
ca_anen,487708.31075549126
ca_omph,484466.7952179909
ca_cleft,425877.23135590553
year,407342.2753098011
ca_gast,397214.03155612946
ca_hypo,343592.3035066128
ab_nicu,276128.2877089977
no_abnorm,141161.45378160477
dmeth_rec,131037.49306488037
gestrec10,44539.33312559128
wtgain,42586.89928627014
ab_aven1,24081.601495027542
bmi,23265.621714115143
mracehisp,20884.01277923584
bfacil3,11878.462795495987
ab_anti,10570.004392147064
precare,8641.534166812897
meduc,8269.605167627335
apgar5,5033.391782999039
me_pres,3387.730974674225
