feature,mean_abs_shap
ab_nicu,0.9066268831784361
mage_c,0.7689146671962516
dbwt,0.36640754110280604
gestrec10,0.3111118257160313
ab_aven1,0.2223531046047395
mracehisp,0.13318677657892902
wtgain,0.10457387672777255
ca_cchd,0.10143855108707794
ca_disor,0.09015000590833289
dmeth_rec,0.06655930843566885
year,0.06255229596928069
ab_aven6,0.06013745143032765
fagecomb,0.058086966947762816
precare,0.05715338153864046
meduc,0.05691864350982458
rf_ghype,0.05668433302871201
bmi,0.049317924525697915
feduc,0.045122387542476605
ab_anti,0.04103944592651259
fracehisp,0.03963712912373682
me_pres,0.03901478306198275
bfacil3,0.02413756934178431
rf_inftr,0.02370573817707653
pay_rec,0.023418879028698478
apgar5,0.015374718676795518
rf_phype,0.014669639486840622
ld_indl,0.01260130311894982
ld_augm,0.01125483646495221
rf_fedrg,0.009700687490062868
sex,0.006565022311403261
