year,reduction
1989,0.227013083
1990,0.231294901
1991,0.23487729
1992,0.251233203
1993,0.265086569
1994,0.28059455
1995,0.287298223
1996,0.318080357
1997,0.317264048
1998,0.320588682
1999,0.317740248
2000,0.331326165
2001,0.324366638
2002,0.312622997
2003,0.32089349
2004,0.32566586
2005,0.316176471
2006,0.306495883
2007,0.296133454
2008,0.304919313
2009,0.309403974
2010,0.329785801
2011,0.323588845
2012,0.332532372
2013,0.331611023
2014,0.330064516
2015,0.359913519
2016,0.35709795
2017,0.351060991
2018,0.372399148
2019,0.372369506
2020,0.378334462
2021,0.384299418
2022,0.390264374
2023,0.396229331
2024,0.402194287
